iter	Passed	Remaining
222	8072	10026
223	8100	9981
224	8131	9938
225	8157	9890
226	8188	9848
227	8216	9801
228	8248	9760
229	8285	9726
230	8317	9685
231	8350	9646
232	8381	9604
233	8428	9580
234	8491	9575
235	8522	9533
236	8556	9494
237	8589	9455
238	8626	9420
239	8651	9372
240	8685	9334
241	8724	9301
242	8750	9254
243	8786	9218
244	8818	9178
245	8847	9134
246	8874	9090
247	8916	9060
248	8950	9022
249	8986	8986
250	9021	8949
251	9056	8913
252	9097	8881
253	9125	8837
254	9156	8797
255	9192	8761
256	9223	8720
257	9253	8679
258	9284	8639
259	9329	8612
260	9366	8576
261	9403	8542
262	9437	8504
263	9474	8469
264	9511	8434
265	9539	8392
266	9572	8353
267	9601	8311
268	9636	8274
269	9669	8236
270	9701	8197
271	9731	8157
272	9758	8114
273	9790	8075
274	9816	8031
275	9859	8002
276	9896	7967
277	9924	7925
278	9961	7890
279	9992	7851
280	10021	7810
281	10065	7781
282	10107	7750
283	10159	7726
284	10199	7694
285	10229	7654
286	10264	7617
287	10304	7585
288	10334	7545
289	10360	7502
290	10390	7462
291	10439	7436
292	10473	7399
293	10504	7360
294	10536	7321
295	10581	7292
296	10607	7250
297	10637	7210
298	10668	7171
299	10707	7138
300	10735	7097
301	10788	7073
302	10857	7059
303	10918	7039
304	10956	7005
305	10987	6966
306	11032	6936
307	11069	6900
308	11103	6863
309	11133	6824
310	11174	6790
311	11203	6750
312	11239	6715
313	11279	6681
314	11315	6645
315	11353	6611
316	11399	6580
317	11449	6553
318	11483	6515
319	11522	6481
320	11557	6444
321	11584	6403
322	11618	6366
323	11653	6330
324	11678	6288
325	11714	6252
326	11760	6221
327	11799	6187
328	11842	6155
329	11875	6117
330	11917	6084
331	11962	6053
332	11994	6015
333	12027	5977
334	12059	5939
335	12084	5898
336	12109	5857
337	12137	5817
338	12164	5777
339	12198	5740
340	12229	5702
341	12267	5667
342	12299	5629
343	12331	5591
344	12356	5551
345	12383	5511
346	12437	5483
347	12477	5449
348	12509	5412
349	12533	5371
350	12564	5333
351	12617	5304
352	12655	5270
353	12682	5230
354	12713	5192
355	12739	5152
356	12771	5115
357	12806	5079
358	12849	5046
359	12886	5011
360	12915	4973
361	12957	4939
362	12987	4901
363	13013	4862
364	13046	4825
365	13075	4787
366	13114	4752
367	13143	4714
368	13169	4675
369	13197	4637
370	13230	4600
371	13269	4565
372	13298	4527
373	13341	4494
374	13387	4462
375	13417	4425
376	13450	4388
377	13478	4350
378	13517	4315
379	13544	4277
380	13583	4242
381	13614	4205
382	13650	4170
383	13704	4139
384	13744	4105
385	13776	4068
386	13808	4031
387	13847	3997
388	13877	3959
389	13903	3921
390	13950	3888
391	13982	3852
392	14017	3816
393	14050	3780
394	14078	3742
395	14109	3705
396	14143	3669
397	14185	3635
398	14210	3597
399	14236	3559
400	14268	3522
401	14301	3486
402	14339	3451
403	14387	3418
404	14435	3386
405	14469	3350
406	14509	3315
407	14554	3282
408	14582	3244
409	14619	3209
410	14652	3172
411	14676	3134
412	14705	3097
413	14739	3061
414	14781	3027
415	14812	2990
416	14854	2956
417	14884	2919
418	14917	2883
419	14950	2847
420	14980	2811
421	15008	2774
422	15042	2738
423	15077	2702
424	15102	2665
425	15134	2628
426	15159	2591
427	15196	2556
428	15229	2520
429	15266	2485
430	15313	2451
431	15364	2418
432	15418	2385
433	15455	2350
434	15495	2315
435	15525	2279
436	15553	2242
437	15589	2206
438	15618	2170
439	15649	2134
440	15682	2098
441	15707	2061
442	15745	2025
443	15776	1989
444	15807	1953
445	15850	1919
446	15876	1882
447	15909	1846
448	15936	1810
449	15967	1774
450	16002	1738
451	16044	1703
452	16088	1669
453	16130	1634
454	16155	1597
455	16191	1562
456	16221	1526
457	16256	1490
458	16292	1455
459	16323	1419
460	16374	1385
461	16434	1351
462	16476	1316
463	16510	1281
464	16547	1245
465	16578	1209
466	16610	1173
467	16650	1138
468	16689	1103
469	16722	1067
470	16755	1031
471	16792	996
472	16824	960
473	16902	927
474	16986	894
475	17036	859
476	17117	825
477	17174	790
478	17222	755
479	17263	719
480	17305	683
481	17337	647
482	17391	612
483	17435	576
484	17463	540
485	17495	503
486	17524	467
487	17567	431
488	17599	395
489	17627	359
490	17664	323
491	17699	287
492	17737	251
493	17780	215
494	17805	179
495	17837	143
496	17864	107
497	17898	71
498	17930	35
499	17968	0
