iter	RMSE
158	0.1210470477
159	0.1210056656
160	0.1209605888
161	0.1209119809
162	0.1208728531
163	0.1207850898
164	0.1207461622
165	0.1207032287
166	0.120666985
167	0.1206343665
168	0.1205816942
169	0.120544325
170	0.1205079744
171	0.1204738562
172	0.1204438961
173	0.1204138007
174	0.1203765936
175	0.120352327
176	0.1203194332
177	0.1202902808
178	0.1202682136
179	0.1202419487
180	0.120208731
181	0.120186756
182	0.1201638101
183	0.1201407234
184	0.1201144955
185	0.1200918696
186	0.1200206082
187	0.1199950974
188	0.1199711984
189	0.1199427576
190	0.1199201963
191	0.1198540129
192	0.1198317334
193	0.1197945496
194	0.1197755622
195	0.1197553396
196	0.1197339512
197	0.1197172532
198	0.1196801511
199	0.119617592
200	0.1195988845
201	0.119582071
202	0.1195660853
203	0.1195479609
204	0.1194872473
205	0.1194697488
206	0.1194270121
207	0.1194138292
208	0.1193926413
209	0.1193730234
210	0.1193566174
211	0.1193262431
212	0.1193020334
213	0.1192887275
214	0.1192680302
215	0.1192301489
216	0.1192113802
217	0.1191937226
218	0.1191805395
219	0.1191583357
220	0.1191367172
221	0.1191202986
222	0.1190993382
223	0.1190786896
224	0.1190619448
225	0.1190077297
226	0.1189848443
227	0.1189492936
228	0.1189329146
229	0.1189097992
230	0.1188916136
231	0.1188766611
232	0.1188477446
233	0.1187953235
234	0.1187759006
235	0.118749016
236	0.118727515
237	0.1187094573
238	0.1186907517
239	0.1186402135
240	0.1186221826
241	0.1186052269
242	0.1185779759
243	0.1185617668
244	0.1185427396
245	0.1185292682
246	0.1185128855
247	0.118495043
248	0.1184745837
249	0.1184564987
250	0.1184387922
251	0.1184186292
252	0.1184021946
253	0.1183878329
254	0.118373189
255	0.1183575452
256	0.1183476719
257	0.1183030027
258	0.1182733405
259	0.1182570946
260	0.1182333876
261	0.1182204705
262	0.1182069921
263	0.1181929909
264	0.1181783207
265	0.1181592581
266	0.1181501863
267	0.1181304298
268	0.1181156135
269	0.1180986343
270	0.118085861
271	0.1180752547
272	0.1180589925
273	0.1180292318
274	0.1179889197
275	0.1179774846
276	0.1179670195
277	0.117929816
278	0.1179190342
279	0.1179041505
280	0.1178819516
281	0.1178721866
282	0.1178614179
283	0.1178499896
284	0.1178285365
285	0.117817571
286	0.1178068911
287	0.1177897778
288	0.1177646505
289	0.1177507549
290	0.1177387626
291	0.1177228538
292	0.1176925474
293	0.1176767617
294	0.1176558174
295	0.1176455054
296	0.1176350306
297	0.1176188097
298	0.1176087276
299	0.1176003335
300	0.1175920925
301	0.1175767956
302	0.1175550109
303	0.1175457047
304	0.117528983
305	0.1175054703
306	0.1174963381
307	0.1174863329
308	0.1174748462
309	0.1174585271
310	0.1174458111
311	0.117405705
312	0.1173856411
313	0.1173702817
314	0.1173572407
315	0.1173462121
316	0.1173355291
317	0.1173260475
318	0.1173156441
319	0.1173025418
320	0.1172847377
321	0.1172746023
322	0.1172627277
323	0.1172469994
324	0.117226997
325	0.1172053966
326	0.1171967149
327	0.1171864
328	0.1171711071
329	0.1171471736
330	0.1171379184
331	0.1171282498
332	0.1171193568
333	0.1170967983
334	0.1170880849
335	0.1170608845
336	0.1170448547
337	0.1170162623
338	0.1169963526
339	0.1169834162
340	0.1169667237
341	0.1169563829
342	0.1169446839
343	0.1169324881
344	0.1169178476
345	0.116901656
346	0.1168918127
347	0.1168789836
348	0.1168701815
349	0.1168488752
350	0.116835575
351	0.1168223984
352	0.1168097835
353	0.116801319
354	0.1167899188
355	0.1167591411
356	0.1167530258
357	0.1167424564
358	0.1167330085
359	0.1167219562
360	0.1167117999
361	0.1167022673
362	0.1166882701
363	0.1166623102
364	0.1166523648
365	0.1166394944
366	0.1166328218
367	0.1166197671
368	0.1166055557
369	0.1165981529
370	0.1165897751
371	0.116579602
372	0.1165515926
373	0.1165418491
374	0.1165308493
375	0.1165199491
376	0.1165128872
377	0.1165060168
378	0.116497392
379	0.1164757681
380	0.1164641763
381	0.1164537428
382	0.1164493029
383	0.1164408881
384	0.1164289979
385	0.1164180147
386	0.1164109293
387	0.1164020431
388	0.1163944833
389	0.1163706356
390	0.1163584046
391	0.1163508455
392	0.1163386283
393	0.1163288678
394	0.1163190272
395	0.1163069221
396	0.1162954099
397	0.1162863435
398	0.1162742838
399	0.1162497404
400	0.1162379016
401	0.1162290262
402	0.1162216608
403	0.1162124628
404	0.1162041809
405	0.1161868666
406	0.1161779763
407	0.1161693185
408	0.1161539442
409	0.1161381209
410	0.116120682
411	0.1160997227
412	0.1160795388
413	0.1160722417
414	0.1160639827
415	0.1160550024
416	0.1160415927
417	0.1160279849
418	0.1160195465
419	0.1160132208
420	0.1160055148
421	0.1159929995
422	0.1159839108
423	0.1159755066
424	0.1159598585
425	0.1159492112
426	0.1159295503
427	0.1159222389
428	0.1159131293
429	0.1159031762
430	0.115892523
431	0.1158815352
432	0.1158688034
433	0.1158540372
434	0.1158441389
435	0.1158352859
436	0.1158254509
437	0.1158116586
438	0.1158030786
439	0.1157961502
440	0.1157878737
441	0.1157794726
442	0.1157726863
443	0.115765316
444	0.1157568659
445	0.1157502012
446	0.1157267588
447	0.1157145255
448	0.1156886229
449	0.115675356
450	0.1156680104
451	0.1156506887
452	0.1156416728
453	0.1156351827
454	0.1156245847
455	0.1156083778
456	0.1155931801
457	0.115584306
458	0.1155702527
459	0.1155606082
460	0.1155549187
461	0.1155432732
462	0.1155343248
463	0.1155245495
464	0.1155093883
465	0.1154941346
466	0.1154844689
467	0.1154677011
468	0.1154585376
469	0.1154494552
470	0.1154407523
471	0.1154332195
472	0.1154240861
473	0.1154104355
474	0.1154006095
475	0.1153928228
476	0.115384015
477	0.1153785326
478	0.1153700497
479	0.1153611202
480	0.1153544485
481	0.1153451812
482	0.1153352048
483	0.115323336
484	0.1153117355
485	0.1152999809
486	0.1152883185
487	0.1152814267
488	0.1152723804
489	0.1152636321
490	0.1152562593
491	0.1152407346
492	0.1152329255
493	0.1152257313
494	0.1152051957
495	0.115198093
496	0.1151882205
497	0.1151813727
498	0.1151718092
499	0.1151606363
